nodeNum,byzantineNodeNum,byzantinePercentage,meanTime,stdTime,medianTime,meanMsgCount,stdMsgCount,networkProfile,networkMean,networkStd
36,3,10,4760.12,216,4818.28,3143.7,358.52,slow-variable,1,0.5
36,7,20,4950.25,147,5000,2628.8,373.28,slow-variable,1,0.5
36,10,30,5000,0,5000,2148.4,266.02,slow-variable,1,0.5
50,0,0,4160.8,245,4051.91,5924.05,580.29,slow-variable,1,0.5
50,5,10,4708.35,272,4781.57,5800.65,811.43,slow-variable,1,0.5
50,10,20,4989.94,35,5000,5267.1,572.18,slow-variable,1,0.5
50,15,30,5000,0,5000,3807.9,490.96,slow-variable,1,0.5
75,0,0,4256.48,168,4258.07,13685.6,1154.69,slow-variable,1,0.5
75,7,10,4640.81,267,4668.84,13104,1514.39,slow-variable,1,0.5
75,15,20,5000,0,5000,12278.5,1030.81,slow-variable,1,0.5
75,22,30,5000,0,5000,8930.25,772.26,slow-variable,1,0.5
100,0,0,4172.91,166,4126.96,23719.55,1461.88,slow-variable,1,0.5
100,10,10,4605.08,292,4558.49,22744.25,2458.47,slow-variable,1,0.5
100,20,20,4996,11,5000,21691.95,1581.57,slow-variable,1,0.5
100,30,30,5000,0,5000,15766.85,1361.83,slow-variable,1,0.5
4,0,0,4899.78,249,5000,24.75,3.77,very-slow-unstable,2,1
4,0,10,4952.48,150,5000,26.6,3.78,very-slow-unstable,2,1
4,0,20,4962.93,155,5000,24.6,5.09,very-slow-unstable,2,1
4,1,30,5000,0,5000,12.95,2.82,very-slow-unstable,2,1
10,0,0,4964.29,142,5000,203.05,22.32,very-slow-unstable,2,1
10,1,10,5000,0,5000,166.85,25.88,very-slow-unstable,2,1
10,2,20,5000,0,5000,121.85,15.83,very-slow-unstable,2,1
10,3,30,5000,0,5000,86.6,12.89,very-slow-unstable,2,1
20,0,0,5000,0,5000,890.55,77.07,very-slow-unstable,2,1
20,2,10,5000,0,5000,679.15,64.3,very-slow-unstable,2,1
20,4,20,5000,0,5000,534.6,48.39,very-slow-unstable,2,1
20,6,30,5000,0,5000,388.65,35.7,very-slow-unstable,2,1
36,0,0,5000,0,5000,2970.4,199.92,very-slow-unstable,2,1
36,3,10,5000,0,5000,2349,168.91,very-slow-unstable,2,1
36,7,20,5000,0,5000,1790.8,143.31,very-slow-unstable,2,1
36,10,30,5000,0,5000,1359.9,83.9,very-slow-unstable,2,1
50,0,0,5000,0,5000,5704.5,389.21,very-slow-unstable,2,1
50,5,10,5000,0,5000,4493.35,240.87,very-slow-unstable,2,1
50,10,20,5000,0,5000,3379.8,229.28,very-slow-unstable,2,1
50,15,30,5000,0,5000,2512.8,105.42,very-slow-unstable,2,1
75,0,0,5000,0,5000,12900.3,545.89,very-slow-unstable,2,1
75,7,10,5000,0,5000,10359.65,575.3,very-slow-unstable,2,1
75,15,20,5000,0,5000,7708.2,259.38,very-slow-unstable,2,1
75,22,30,5000,0,5000,5772.05,238.75,very-slow-unstable,2,1
100,0,0,5000,0,5000,22767.7,1042.51,very-slow-unstable,2,1
100,10,10,5000,0,5000,18123.9,836.75,very-slow-unstable,2,1
100,20,20,5000,0,5000,13899.8,478.88,very-slow-unstable,2,1
100,30,30,5000,0,5000,10398.9,370.62,very-slow-unstable,2,1
